luminosity = 35866.211
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   

 rate    =           1158.623  45.470   11.445   1.572    2.057    638.530  47.597   9.371    1.203    80.099   57.878   19.453   2.529    0.539    2.894    5.364    8.769    0.000  0.000  1.593    0.536    455.844  30.275   6.527    1.302    1.836    40.241   5.644    1.337    0.000  2.898    5.518    1.970    2.741    0.000  0.000  0.000  73.138   12.444   3.596    1.616    9.440    2.958    1.400    2.333    4.594    1.841    1.113    45.536   6.117    1.986    0.726    24.927   7.932    1.415    0.941    1.715    0.000  37.528   7.896    0.487    0.576    23.840   4.104    1.563    3.228    0.908    0.000  0.000  0.000  8.256    0.442    0.000  4.600    0.976    2.098    1.829    0.000  0.000  0.612    1.262    0.000  0.000  0.000  

# stat_unc_abs_up =   30.769   6.779    3.952    1.828    2.380    22.144   7.212    3.606    2.140    7.571    7.169    4.680    2.359    1.039    1.972    2.757    3.339    1.468    1.680    2.182    1.594    19.542   5.900    3.388    2.681    2.378    6.069    3.491    2.073    1.429    1.995    2.679    1.543    2.587    1.024    1.777    1.085    8.777    4.628    3.367    2.872    3.544    2.531    2.280    3.859    3.170    2.153    1.818    5.499    2.438    1.347    1.990    5.251    3.184    1.694    1.533    2.663    1.242    5.015    2.654    1.605    1.696    4.946    2.857    2.405    2.256    2.704    2.722    1.368    2.164    2.948    1.899    0.400    2.908    1.568    1.957    2.095    1.655    1.942    1.508    1.466    2.105    1.423    1.589  
# stat_unc_abs_dn =   29.667   5.677    2.819    0.805    1.057    21.126   6.018    2.449    0.777    6.723    6.147    3.595    1.155    0.348    1.116    1.722    2.286    0.000  0.000  1.029    0.443    18.453   4.734    2.101    0.841    0.953    5.069    2.031    0.864    0.000  1.115    1.805    0.823    1.249    0.000  0.000  0.000  7.570    3.175    1.649    1.033    2.383    1.415    0.904    1.388    1.774    0.941    0.654    4.742    1.660    0.776    0.600    4.142    2.141    0.721    0.552    1.108    0.000  4.274    1.886    0.403    0.476    3.903    1.579    1.009    1.238    0.751    0.000  0.000  0.000  2.034    0.366    0.000  1.655    0.630    0.958    0.974    0.000  0.000  0.506    0.647    0.000  0.000  0.000  
 stat_unc_up =       0.027    0.149    0.345    1.163    1.157    0.035    0.152    0.385    1.779    0.095    0.124    0.241    0.933    1.927    0.682    0.514    0.381    0.000  0.000  1.370    2.975    0.043    0.195    0.519    2.059    1.295    0.151    0.619    1.550    0.000  0.688    0.486    0.783    0.944    0.000  0.000  0.000  0.120    0.372    0.936    1.777    0.375    0.856    1.628    1.654    0.690    1.169    1.633    0.121    0.399    0.678    2.742    0.211    0.401    1.197    1.629    1.553    0.000  0.134    0.336    3.293    2.945    0.207    0.696    1.539    0.699    2.977    0.000  0.000  0.000  0.357    4.297    0.000  0.632    1.607    0.933    1.145    0.000  0.000  2.465    1.162    0.000  0.000  0.000  
 stat_unc_dn =       0.026    0.125    0.246    0.512    0.514    0.033    0.126    0.261    0.646    0.084    0.106    0.185    0.457    0.646    0.385    0.321    0.261    0.000  0.000  0.646    0.827    0.040    0.156    0.322    0.646    0.519    0.126    0.360    0.646    0.000  0.385    0.327    0.418    0.456    0.000  0.000  0.000  0.104    0.255    0.459    0.639    0.252    0.479    0.646    0.595    0.386    0.511    0.587    0.104    0.271    0.391    0.827    0.166    0.270    0.509    0.586    0.646    0.000  0.114    0.239    0.827    0.827    0.164    0.385    0.646    0.384    0.827    0.000  0.000  0.000  0.246    0.827    0.000  0.360    0.646    0.457    0.533    0.000  0.000  0.827    0.512    0.000  0.000  0.000  

 syst_unc_TF_stat_up = 0.010    0.041    0.090    0.152    0.139    0.013    0.043    0.080    0.166    0.032    0.039    0.072    0.117    0.307    0.160    0.091    0.104    0.196    0.274    0.376    0.214    0.015    0.050    0.095    0.198    0.222    0.042    0.094    0.243    0.250    0.139    0.162    0.166    0.237    0.264    0.321    0.336    0.038    0.082    0.181    0.403    0.067    0.142    0.219    0.195    0.051    0.081    0.201    0.036    0.084    0.167    0.321    0.056    0.103    0.153    0.162    0.280    0.258    0.037    0.084    0.219    0.353    0.063    0.117    0.259    0.137    0.390    0.285    0.341    0.309    0.114    0.303    0.298    0.120    0.254    0.112    0.165    0.114    0.229    0.192    0.185    0.296    0.363    0.268  
 syst_unc_TF_stat_dn = 0.010    0.041    0.090    0.152    0.139    0.013    0.043    0.080    0.166    0.032    0.039    0.072    0.117    0.307    0.160    0.091    0.104    0.196    0.274    0.376    0.214    0.015    0.050    0.095    0.198    0.222    0.042    0.094    0.243    0.250    0.139    0.162    0.166    0.237    0.264    0.321    0.336    0.038    0.082    0.181    0.403    0.067    0.142    0.219    0.195    0.051    0.081    0.201    0.036    0.084    0.167    0.321    0.056    0.103    0.153    0.162    0.280    0.258    0.037    0.084    0.219    0.353    0.063    0.117    0.259    0.137    0.390    0.285    0.341    0.309    0.114    0.303    0.298    0.120    0.254    0.112    0.165    0.114    0.229    0.192    0.185    0.296    0.363    0.268  
