luminosity = 35866.211
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   

 rate    =           1115.916  48.992   16.788   2.122    2.829    615.339  39.097   7.464    0.000  84.633   46.363   21.078   2.525    0.000  4.825    6.206    12.355   0.000  0.000  3.185    0.000  475.308  35.175   6.413    0.000  1.750    39.862   5.197    2.675    0.000  3.821    11.036   2.480    3.998    0.000  0.000  0.000  72.523   11.887   3.920    2.328    3.245    5.915    0.000  1.897    4.964    1.246    1.216    45.758   8.034    1.058    1.451    26.376   11.934   1.075    0.880    0.000  0.000  44.150   9.123    0.975    1.152    21.770   3.008    3.125    1.213    1.816    0.000  0.000  0.000  6.214    0.000  0.000  3.117    0.000  3.121    2.819    0.000  0.000  1.224    0.817    0.000  0.000  0.000  

# stat_unc_abs_up =   44.974   10.677   6.740    2.798    3.731    32.205   9.721    5.049    2.873    11.373   9.912    7.273    3.330    1.515    3.264    4.199    5.272    1.599    2.169    4.201    2.023    29.801   9.473    5.071    4.118    4.023    9.047    5.056    3.528    1.977    3.021    5.040    2.412    3.889    1.197    3.034    1.443    13.187   7.100    5.170    5.353    4.281    4.677    2.675    4.361    4.829    2.865    2.796    8.096    3.962    1.395    3.337    8.074    5.092    2.471    2.024    2.812    1.317    7.918    4.166    2.242    2.649    7.197    3.968    4.122    2.789    4.177    4.475    2.273    3.817    4.204    3.208    0.546    4.111    1.790    3.036    3.718    2.577    3.253    2.814    1.880    3.734    2.193    3.106  
# stat_unc_abs_dn =   43.263   8.895    4.984    1.370    1.827    30.640   7.925    3.224    0.000  10.092   8.282    5.565    1.631    0.000  2.084    2.681    3.841    0.000  0.000  2.057    0.000  28.090   7.614    3.069    0.000  1.447    7.488    2.829    1.728    0.000  1.829    3.609    1.350    2.176    0.000  0.000  0.000  11.280   4.715    2.532    1.926    2.096    2.831    0.000  1.569    2.702    1.031    1.006    6.951    2.780    0.683    1.200    6.334    3.710    0.889    0.728    0.000  0.000  6.785    2.984    0.807    0.953    5.558    1.943    2.019    1.003    1.503    0.000  0.000  0.000  2.684    0.000  0.000  2.013    0.000  1.698    1.821    0.000  0.000  1.012    0.676    0.000  0.000  0.000  
 stat_unc_up =       0.040    0.218    0.402    1.319    1.319    0.052    0.249    0.677    0.000  0.134    0.214    0.345    1.319    0.000  0.677    0.677    0.427    0.000  0.000  1.319    0.000  0.063    0.269    0.791    0.000  2.300    0.227    0.973    1.319    0.000  0.791    0.457    0.973    0.973    0.000  0.000  0.000  0.182    0.597    1.319    2.300    1.319    0.791    0.000  2.300    0.973    2.300    2.300    0.177    0.493    1.319    2.300    0.306    0.427    2.300    2.300    0.000  0.000  0.179    0.457    2.300    2.300    0.331    1.319    1.319    2.300    2.300    0.000  0.000  0.000  0.677    0.000  0.000  1.319    0.000  0.973    1.319    0.000  0.000  2.300    2.300    0.000  0.000  0.000  
 stat_unc_dn =       0.039    0.182    0.297    0.646    0.646    0.050    0.203    0.432    0.000  0.119    0.179    0.264    0.646    0.000  0.432    0.432    0.311    0.000  0.000  0.646    0.000  0.059    0.216    0.479    0.000  0.827    0.188    0.544    0.646    0.000  0.479    0.327    0.544    0.544    0.000  0.000  0.000  0.156    0.397    0.646    0.827    0.646    0.479    0.000  0.827    0.544    0.827    0.827    0.152    0.346    0.646    0.827    0.240    0.311    0.827    0.827    0.000  0.000  0.154    0.327    0.827    0.827    0.255    0.646    0.646    0.827    0.827    0.000  0.000  0.000  0.432    0.000  0.000  0.646    0.000  0.544    0.646    0.000  0.000  0.827    0.827    0.000  0.000  0.000  

 syst_unc_TF_stat_up = 0.014    0.059    0.116    0.200    0.187    0.019    0.060    0.115    0.176    0.046    0.057    0.104    0.171    0.225    0.189    0.128    0.138    0.266    0.378    0.376    0.239    0.021    0.071    0.138    0.214    0.335    0.061    0.134    0.243    0.359    0.189    0.162    0.230    0.307    0.473    0.458    0.480    0.056    0.123    0.256    0.531    0.085    0.142    0.224    0.321    0.073    0.128    0.316    0.051    0.114    0.209    0.321    0.082    0.131    0.212    0.221    0.272    0.375    0.052    0.119    0.219    0.353    0.092    0.170    0.259    0.172    0.390    0.386    0.485    0.422    0.164    0.354    0.433    0.173    0.259    0.145    0.205    0.162    0.317    0.192    0.260    0.387    0.519    0.312  
 syst_unc_TF_stat_dn = 0.014    0.059    0.116    0.200    0.187    0.019    0.060    0.115    0.176    0.046    0.057    0.104    0.171    0.225    0.189    0.128    0.138    0.266    0.378    0.376    0.239    0.021    0.071    0.138    0.214    0.335    0.061    0.134    0.243    0.359    0.189    0.162    0.230    0.307    0.473    0.458    0.480    0.056    0.123    0.256    0.531    0.085    0.142    0.224    0.321    0.073    0.128    0.316    0.051    0.114    0.209    0.321    0.082    0.131    0.212    0.221    0.272    0.375    0.052    0.119    0.219    0.353    0.092    0.170    0.259    0.172    0.390    0.386    0.485    0.422    0.164    0.354    0.433    0.173    0.259    0.145    0.205    0.162    0.317    0.192    0.260    0.387    0.519    0.312  
