luminosity = 35866.211
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   

 rate    =           1201.330  41.949   6.103    1.023    1.285    661.720  56.097   11.278   2.406    75.565   69.392   17.828   2.534    1.078    0.964    4.521    5.183    0.000  0.000  0.000  1.072    436.380  25.375   6.642    2.604    1.922    40.620   6.090    0.000  0.000  1.975    0.000  1.459    1.484    0.000  0.000  0.000  73.753   13.000   3.271    0.905    15.634   0.000  2.800    2.769    4.224    2.436    1.010    45.314   4.200    2.913    0.000  23.478   3.929    1.756    1.002    3.430    0.000  30.907   6.670    0.000  0.000  25.911   5.200    0.000  5.242    0.000  0.000  0.000  0.000  10.298   0.884    0.000  6.082    1.952    1.075    0.839    0.000  0.000  0.000  1.707    0.000  0.000  0.000  

# stat_unc_abs_up =   42.002   8.357    4.129    2.352    2.955    30.402   10.656   5.151    3.174    9.996    10.361   5.894    3.342    1.422    2.216    3.574    4.098    2.461    2.567    1.181    2.464    25.288   7.037    4.493    3.435    2.535    8.092    4.816    2.177    2.065    2.605    1.819    1.924    3.413    1.661    1.850    1.621    11.586   5.937    4.315    2.081    5.649    1.937    3.693    6.368    4.108    3.214    2.323    7.442    2.841    2.303    2.167    6.716    3.822    2.316    2.303    4.524    2.107    6.157    3.289    2.298    2.119    6.786    4.112    2.478    3.546    3.433    3.100    1.523    2.041    4.135    2.032    0.583    4.115    2.574    2.471    1.930    2.078    2.121    1.085    2.251    1.945    1.813    0.669  
# stat_unc_abs_dn =   40.605   7.057    2.636    0.846    1.063    29.094   9.060    3.688    1.554    8.885    9.085    4.552    1.637    0.696    0.797    2.164    2.480    0.000  0.000  0.000  0.887    23.938   5.626    2.869    1.682    1.241    6.833    2.915    0.000  0.000  1.276    0.000  0.942    1.228    0.000  0.000  0.000  10.099   4.252    2.113    0.749    4.280    0.000  1.809    2.291    2.299    1.574    0.836    6.451    1.814    1.394    0.000  5.338    2.139    1.134    0.829    2.216    0.000  5.199    2.308    0.000  0.000  5.482    2.489    0.000  2.264    0.000  0.000  0.000  0.000  3.057    0.731    0.000  2.627    1.261    0.889    0.694    0.000  0.000  0.000  1.102    0.000  0.000  0.000  
 stat_unc_up =       0.035    0.199    0.677    2.300    2.300    0.046    0.190    0.457    1.319    0.132    0.149    0.331    1.319    1.319    2.300    0.791    0.791    0.000  0.000  0.000  2.300    0.058    0.277    0.677    1.319    1.319    0.199    0.791    0.000  0.000  1.319    0.000  1.319    2.300    0.000  0.000  0.000  0.157    0.457    1.319    2.300    0.361    0.000  1.319    2.300    0.973    1.319    2.300    0.164    0.677    0.791    0.000  0.286    0.973    1.319    2.300    1.319    0.000  0.199    0.493    0.000  0.000  0.262    0.791    0.000  0.677    0.000  0.000  0.000  0.000  0.402    2.300    0.000  0.677    1.319    2.300    2.300    0.000  0.000  0.000  1.319    0.000  0.000  0.000  
 stat_unc_dn =       0.034    0.168    0.432    0.827    0.827    0.044    0.162    0.327    0.646    0.118    0.131    0.255    0.646    0.646    0.827    0.479    0.479    0.000  0.000  0.000  0.827    0.055    0.222    0.432    0.646    0.646    0.168    0.479    0.000  0.000  0.646    0.000  0.646    0.827    0.000  0.000  0.000  0.137    0.327    0.646    0.827    0.274    0.000  0.646    0.827    0.544    0.646    0.827    0.142    0.432    0.479    0.000  0.227    0.544    0.646    0.827    0.646    0.000  0.168    0.346    0.000  0.000  0.212    0.479    0.000  0.432    0.000  0.000  0.000  0.000  0.297    0.827    0.000  0.432    0.646    0.827    0.827    0.000  0.000  0.000  0.646    0.000  0.000  0.000  

 syst_unc_TF_stat_up = 0.014    0.055    0.109    0.211    0.172    0.018    0.059    0.110    0.166    0.044    0.053    0.098    0.161    0.307    0.185    0.125    0.131    0.274    0.391    0.416    0.214    0.020    0.066    0.131    0.198    0.294    0.058    0.133    0.251    0.347    0.183    0.149    0.216    0.285    0.301    0.392    0.470    0.051    0.110    0.251    0.453    0.079    0.134    0.219    0.245    0.070    0.103    0.226    0.050    0.110    0.215    0.302    0.076    0.130    0.210    0.233    0.280    0.348    0.049    0.113    0.218    0.378    0.086    0.155    0.256    0.164    0.366    0.415    0.446    0.407    0.154    0.303    0.409    0.159    0.254    0.119    0.209    0.158    0.319    0.286    0.243    0.440    0.499    0.423  
 syst_unc_TF_stat_dn = 0.014    0.055    0.109    0.211    0.172    0.018    0.059    0.110    0.166    0.044    0.053    0.098    0.161    0.307    0.185    0.125    0.131    0.274    0.391    0.416    0.214    0.020    0.066    0.131    0.198    0.294    0.058    0.133    0.251    0.347    0.183    0.149    0.216    0.285    0.301    0.392    0.470    0.051    0.110    0.251    0.453    0.079    0.134    0.219    0.245    0.070    0.103    0.226    0.050    0.110    0.215    0.302    0.076    0.130    0.210    0.233    0.280    0.348    0.049    0.113    0.218    0.378    0.086    0.155    0.256    0.164    0.366    0.415    0.446    0.407    0.154    0.303    0.409    0.159    0.254    0.119    0.209    0.158    0.319    0.286    0.243    0.440    0.499    0.423  

 syst_unc_ISR_up =   0.017    0.016    0.034    0.025    0.019    0.017    0.022    0.025    0.003    0.025    0.016    0.011    0.010    0.002    0.008    0.039    0.031    0.011    0.041    0.022    0.008    0.016    0.019    0.026    0.009    0.093    0.012    0.039    0.005    0.032    0.008    0.023    0.010    0.030    0.021    0.057    0.037    0.010    0.008    0.019    0.062    0.032    0.010    0.008    0.021    0.038    0.025    0.035    0.048    0.029    0.018    0.005    0.033    0.036    0.031    0.028    0.011    0.029    0.042    0.036    0.061    0.034    0.034    0.033    0.020    0.039    0.066    0.023    0.027    0.002    0.037    0.056    0.072    0.031    0.022    0.035    0.024    0.016    0.086    0.004    0.036    0.076    0.023    0.073  
 syst_unc_ISR_dn =   0.024    0.024    0.043    0.036    0.035    0.025    0.032    0.036    0.013    0.034    0.023    0.021    0.024    0.017    0.021    0.051    0.038    0.016    0.070    0.030    0.004    0.021    0.026    0.034    0.014    0.121    0.016    0.063    0.016    0.052    0.022    0.034    0.019    0.033    0.048    0.077    0.054    0.014    0.010    0.027    0.076    0.050    0.017    0.010    0.024    0.054    0.037    0.022    0.070    0.045    0.047    0.012    0.055    0.055    0.057    0.041    0.024    0.028    0.060    0.054    0.079    0.051    0.051    0.049    0.028    0.062    0.124    0.049    0.059    0.001    0.054    0.083    0.068    0.059    0.047    0.067    0.017    0.034    0.154    0.059    0.076    0.122    0.034    0.059  

 syst_unc_bTag_up =  0.000    0.000    0.002    0.007    0.001    0.000    0.003    0.002    0.000    0.000    0.002    0.001    0.005    0.001    0.002    0.002    0.008    0.014    0.003    0.003    0.004    0.000    0.002    0.003    0.004    0.001    0.001    0.002    0.000    0.025    0.006    0.005    0.001    0.007    0.003    0.010    0.007    0.003    0.001    0.003    0.011    0.003    0.004    0.002    0.025    0.002    0.005    0.007    0.000    0.001    0.001    0.001    0.000    0.000    0.001    0.001    0.005    0.005    0.002    0.002    0.001    0.002    0.004    0.002    0.005    0.001    0.007    0.004    0.005    0.001    0.001    0.003    0.006    0.003    0.001    0.002    0.004    0.006    0.000    0.003    0.000    0.003    0.018    0.005  
