channel =  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84

rate =  8.30460 0.95250 0.12888 0 0.03727 6.01801 0.95705 0.25459 0.09287 0.52755 1.35022 0.35033 0.22247 0.01822 0.03990 0.03076 0.35797 0.06245 0 0.01963 0.16168 2.72894 0.32577 0.07372 0.05181 0.08746 0.76434 0.46463 0.09716 0.02159 0.06898 0.21755 0.12258 0.00949 0 0.02814 0.08161 0.30334 0.08573 0.08895 0.03591 0.01466 0.02265 0.00791 0.02856 0.01759 0.01457 0.01175 0.10627 0.03741 0 0 0.27833 0.24820 0.02809 0.05571 0.04173 0.04766 0.08149 0.01257 0 0 0.12598 0.03010 0.00739 0 0.01448 0.01594 0.00193 0.00914 0.02134 0.01689 0.00552 0.00506 0 0.00339 0 0 0.06086 0 0.00147 0 0 0

cs_event =   1167  117  15  0  8  925  153  38  10  115  228  82  43  2  6  23  54  16  0  3  28  495  52  18  11  11  101  58  14  5  6  35  23  3  0  4  14  45  17  14  6  3  4  2  5  7  3  2  35  4  0  0  42  18  6  7  11  8  26  3  0  0  20  8  2  0  4  7  1  4  8  5  2  4  0  2  0  0  4  0  1  0  0  0

avg_weight =   0.00712  0.00814  0.00859  0.05049  0.00466  0.00651  0.00626  0.00670  0.00929  0.00459  0.00592  0.00427  0.00517  0.00911  0.00665  0.00134  0.00663  0.00390  0.05049  0.00654  0.00577  0.00551  0.00626  0.00410  0.00471  0.00795  0.00757  0.00801  0.00694  0.00432  0.01150  0.00622  0.00533  0.00316  0.05049  0.00703  0.00583  0.00674  0.00504  0.00635  0.00598  0.00489  0.00566  0.00396  0.00571  0.00251  0.00486  0.00588  0.00304  0.00935  0.05049  0.05049  0.00663  0.01379  0.00468  0.00796  0.00379  0.00596  0.00313  0.00419  0.05049  0.05049  0.00630  0.00376  0.00370  0.05049  0.00362  0.00228  0.00193  0.00229  0.00267  0.00338  0.00276  0.00126  0.05049  0.00169  0.05049  0.05049  0.01521  0.05049  0.00147  0.05049  0.05049  0.05049

syst_unc_pdf_up =  0.06168 0.00582 0.00969 0.00000 0.00225 0.07456 0.01136 0.00473 0.00226 0.00333 0.01157 0.00713 0.00727 0.00016 0.00028 0.06621 0.01114 0.00307 0.00000 0.00072 0.00521 0.00781 0.00937 0.00148 0.00299 0.00231 0.01968 0.00312 0.00335 0.00120 0.00062 0.00220 0.00198 0.00702 0.00000 0.00428 0.00257 0.00410 0.00159 0.00763 0.00123 0.00009 0.00024 0.00047 0.00018 0.00233 0.00073 0.00031 0.00174 0.00028 0.00000 0.00000 0.00288 0.01125 0.00116 0.00011 0.00147 0.00104 0.00041 0.00055 0.00000 0.00000 0.01708 0.00023 0.00015 0.00000 0.00018 0.00093 0.00008 0.00009 0.00025 0.00103 0.00003 0.00013 0.00000 0.00002 0.00000 0.00000 0.00023 0.00000 0.00002 0.00000 0.00000 0.00000

syst_unc_pdf_down =   0.00802  0.00003  0.00681  0.00000  0.00187  0.02701  0.02360  0.00558  0.00149  0.00950  0.00908  0.00812  0.01381  0.00016  0.00015  0.03076  0.01547  0.00330  0.00000  0.00045  0.00349  0.00781  0.01574  0.00041  0.00206  0.00209  0.02302  0.00025  0.00220  0.00145  0.00083  0.00002  0.00281  0.00691  0.00000  0.00253  0.00181  0.00327  0.00131  0.00508  0.00096  0.00001  0.00017  0.00022  0.00005  0.00293  0.00057  0.00021  0.00141  0.00012  0.00000  0.00000  0.00220  0.01187  0.00096  0.00011  0.00167  0.00046  0.00041  0.00035  0.00000  0.00000  0.01721  0.00003  0.00007  0.00000  0.00017  0.00068  0.00011  0.00003  0.00007  0.00115  0.00003  0.00003  0.00000  0.00000  0.00000  0.00000  0.00036  0.00000  0.00001  0.00000  0.00000  0.00000

