channel =  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84

rate =  17.33588 1.39455 0.23278 0.01781 0.17187 17.53635 2.28609 0.44350 0.18510 2.74835 3.49609 1.21648 0.31964 0 0.10519 0.54156 0.68282 0.20836 0 0 0.10608 14.42038 1.49079 0.41368 0.11928 0.20359 3.50825 1.73426 0.33697 0.13532 0.13131 0.78391 0.79512 0.37039 0.01167 0.20962 0.27411 2.02401 0.79363 0.27661 0.19422 0.15323 0.14804 0.18959 0.03341 0.04493 0.05384 0.03462 1.48385 0.13784 0.00284 0.10422 2.35103 1.44409 0.14021 0.32856 0.59122 0.28603 1.04158 0.22644 0.02955 0 2.00292 0.36791 0.09378 1.03105 0.35827 0.39105 0.09612 0.32900 0.23799 0.18934 0.07752 0.04458 0.01416 0.00922 0.02952 0.04552 0.06907 0.00735 0.03875 0 0 0

cs_event =  1681 131 25 2 18 1694 226 43 17 269 342 121 32 0 9 52 69 22 0 0 10 1461 156 43 15 23 349 179 38 13 16 88 85 35 2 20 30 224 70 31 18 21 18 20 3 4 6 3 139 9 0 12 223 140 19 30 58 34 111 28 5 0 211 41 9 109 37 44 10 36 32 22 9 6 1 2 3 7 8 0 4 2 0 0

avg_weight =   0.01031  0.01065  0.00931  0.00890  0.00955  0.01035  0.01012  0.01031  0.01089  0.01022  0.01022  0.01005  0.00999  0.01034  0.01169  0.01041  0.00990  0.00947  0.01034  0.01034  0.01061  0.00987  0.00956  0.00962  0.00795  0.00885  0.01005  0.00969  0.00887  0.01041  0.00821  0.00891  0.00935  0.01058  0.00583  0.01048  0.00914  0.00904  0.01134  0.00892  0.01079  0.00730  0.00822  0.00948  0.01114  0.01123  0.00897  0.01154  0.01068  0.01532  0.01034  0.00869  0.01054  0.01031  0.00738  0.01095  0.01019  0.00841  0.00938  0.00809  0.00591  0.01034  0.00949  0.00897  0.01042  0.00946  0.00968  0.00889  0.00961  0.00914  0.00744  0.00861  0.00861  0.00743  0.01416  0.00461  0.00984  0.00650  0.00863  0.01034  0.00969  0.01034  0.01034  0.01034

syst_unc_pdf_up =  0.00723 0.00859 0.02153 0.00116 0.00747 0.00741 0.03021 0.00268 0.01249 0.00784 0.01347 0.01740 0.01280 0.00000 0.00118 0.01503 0.00281 0.01110 0.00000 0.00000 0.01891 0.04416 0.00706 0.00887 0.00696 0.01103 0.02619 0.02168 0.00300 0.00153 0.00121 0.00210 0.02694 0.01461 0.00025 0.00183 0.01639 0.00681 0.00386 0.00034 0.00734 0.00515 0.00480 0.00360 0.00250 0.00130 0.00095 0.00777 0.00804 0.00473 0.00066 0.00246 0.01168 0.01514 0.01339 0.00117 0.00942 0.00991 0.00545 0.00320 0.00070 0.00000 0.00737 0.00764 0.00271 0.00723 0.00505 0.01274 0.00026 0.00003 0.00129 0.00199 0.00970 0.00019 0.00218 0.00268 0.00143 0.00198 0.00421 0.00029 0.00091 0.00000 0.00000 0.00000

syst_unc_pdf_down =   0.00723  0.00900  0.02423  0.00128  0.00649  0.00153  0.04309  0.00765  0.01123  0.00278  0.00598  0.00523  0.01256  0.00000  0.00178  0.01142  0.00281  0.01235  0.00000  0.00000  0.03725  0.03363  0.00706  0.00847  0.00486  0.01094  0.02042  0.01592  0.00086  0.00125  0.00106  0.00210  0.02984  0.01290  0.00008  0.00070  0.01548  0.01240  0.00203  0.00074  0.01072  0.00426  0.00465  0.00316  0.00272  0.00083  0.00119  0.00609  0.00510  0.02361  0.00044  0.00175  0.00958  0.00904  0.01145  0.00011  0.00743  0.00991  0.00313  0.00244  0.00089  0.00000  0.00036  0.00699  0.00309  0.00466  0.00355  0.00945  0.00009  0.00074  0.00073  0.00126  0.01819  0.00053  0.00183  0.00229  0.00104  0.00136  0.00283  0.00021  0.00069  0.00000  0.00000  0.00000
