sample = zinv

channel                   =     bin0     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45    bin46    bin47    bin48    bin49    bin50    bin51    bin52    bin53    bin54    bin55    bin56    bin57    bin58    bin59    bin60    bin61    bin62    bin63    bin64    bin65    bin66    bin67    bin68    bin69    bin70    bin71    bin72    bin73    bin74    bin75    bin76    bin77    bin78    bin79    bin80    bin81    bin82    bin83

rate                      = 212.75068 18.54894  5.11427  1.68767  2.45322 174.85380 25.81813  6.51074  1.81186 21.47873 41.38578 16.70496  4.99265  0.10093  0.99360  6.99139  9.32236  3.76592  0.01739  0.33605  3.75119 53.09795  6.45362  1.66222  0.63400  0.72454 10.45267  5.29284  1.43588  0.49438  0.51492  3.19446  3.11197  1.49959  0.04057  0.76148  0.87100  3.37116  1.33803  0.35530  0.51648  0.40749  0.15317  0.08810  0.29043  0.13190  0.09737  0.16454  1.12679  0.23987  0.10176  0.07496  2.56343  1.39315  0.34981  0.35206  0.87146  0.67354  0.44823  0.07945  0.03662  0.01429  0.77372  0.12295  0.04027  0.27435  0.09912  0.12624  0.02480  0.11533  0.14185  0.04607  0.01189  0.06248  0.02485  0.02544  0.01311  0.00035  0.02594  0.00187  0.00000  0.02868  0.00000  0.00037

cs_event                  =     3212      657      228       93      123     3209      745      291      101      675     1362      706      258        6       49      315      485      182        1       19      183      897      213       74       32       34      239      165       63       28       29      124      140       70        3       36       39       75       44       14       25       20        7        4       14        8        5        7       64       13        5        5       70       47       19       17       41       36       11        3        3        1       16        5        3       10        6        7        1        6        2        2        1        3        1        1        1        1        1        3        0        1        0        1
avg_weight                =  0.06624  0.02823  0.02243  0.01815  0.01994  0.05449  0.03466  0.02237  0.01794  0.03182  0.03039  0.02366  0.01935  0.01682  0.02028  0.02219  0.01922  0.02069  0.01739  0.01769  0.02050  0.05920  0.03030  0.02246  0.01981  0.02131  0.04374  0.03208  0.02279  0.01766  0.01776  0.02576  0.02223  0.02142  0.01352  0.02115  0.02233  0.04495  0.03041  0.02538  0.02066  0.02037  0.02188  0.02202  0.02074  0.01649  0.01947  0.02351  0.01761  0.01845  0.02035  0.01499  0.03662  0.02964  0.01841  0.02071  0.02126  0.01871  0.04075  0.02648  0.01221  0.01429  0.04836  0.02459  0.01342  0.02743  0.01652  0.01803  0.02480  0.01922  0.07092  0.02304  0.01189  0.02083  0.02485  0.02544  0.01311  0.00035  0.02594  0.00062  0.03068  0.02868  0.03616  0.00037

syst_unc_norm_up          =  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100
syst_unc_norm_dn          =  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100  0.08100
syst_unc_shape_central_up =  0.09697  0.08122  0.31240  0.23556  0.15659  0.14823  0.17852  0.34352  0.28981  0.17541  0.06419  0.34240  0.27329  0.28965  0.28859  0.41746  0.35729  0.32078  0.36308  0.32798  0.33329  0.24110  0.23556  0.38273  0.33608  0.29040  0.35611  0.35406  0.46514  0.41154  0.36498  0.36355  0.47240  0.43223  0.38461  0.40365  0.39140  0.23788  0.23534  0.24588  0.34038  0.23700  0.23785  0.24733  0.32738  0.23725  0.24175  0.31298  0.16518  0.15497  0.17950  0.31409  0.21766  0.26227  0.26630  0.31796  0.36277  0.37742  0.27599  0.27001  0.27334  0.43678  0.30382  0.33553  0.33582  0.33727  0.28042  0.42883  0.38685  0.43008  0.29467  0.37786  0.41111  0.30589  0.30972  0.27131  0.31031  0.38545  0.16518  0.19962  0.27599  0.39405  0.00000  0.27001
syst_unc_shape_central_dn =  0.09697  0.08122  0.31240  0.23556  0.15659  0.14823  0.17852  0.34352  0.28981  0.17541  0.06419  0.34240  0.27329  0.28965  0.28859  0.41746  0.35729  0.32078  0.36308  0.32798  0.33329  0.24110  0.23556  0.38273  0.33608  0.29040  0.35611  0.35406  0.46514  0.41154  0.36498  0.36355  0.47240  0.43223  0.38461  0.40365  0.39140  0.23788  0.23534  0.24588  0.34038  0.23700  0.23785  0.24733  0.32738  0.23725  0.24175  0.31298  0.16518  0.15497  0.17950  0.31409  0.21766  0.26227  0.26630  0.31796  0.36277  0.37742  0.27599  0.27001  0.27334  0.43678  0.30382  0.33553  0.33582  0.33727  0.28042  0.42883  0.38685  0.43008  0.29467  0.37786  0.41111  0.30589  0.30972  0.27131  0.31031  0.38545  0.16518  0.19962  0.27599  0.39405  0.00000  0.27001
syst_unc_shape_stat_up    =  0.10800  0.12600  0.21200  0.20500  0.33300  0.10800  0.12600  0.21200  0.19900  0.11800  0.12600  0.21200  0.19100  0.20300  0.20300  0.21200  0.21600  0.33300  0.36000  0.33300  0.32600  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.38600  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  1.00000  0.50700  1.00000  0.50700
syst_unc_shape_stat_dn    =  0.10800  0.12600  0.21200  0.20500  0.33300  0.10800  0.12600  0.21200  0.19900  0.11800  0.12600  0.21200  0.19100  0.20300  0.20300  0.21200  0.21600  0.33300  0.36000  0.33300  0.32600  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.38600  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  1.00000  0.50700  1.00000  0.50700
syst_unc_jeu_up           =  0.04400  0.01094  0.05423  0.09694  0.02007  0.06563  0.00674  0.00904  0.02768  0.09727  0.04933  0.00972  0.02546  0.13963  0.05905  0.07287  0.05411  0.00098  0.04163  0.11275  0.03512  0.06604  0.06528  0.01368  0.02821  0.09982  0.09616  0.10492  0.14258  0.09435  0.23060  0.04373  0.08891  0.07530  0.01898  0.06423  0.07307  0.09582  0.03554  0.05518  0.02960  0.10344  0.29182  0.00000  0.05264  0.00590  0.36478  0.07450  0.22964  0.09962  0.24848  0.08051  0.05813  0.17808  0.14807  0.15827  0.05410  0.17285  0.06540  0.70868  0.01147  0.91709  0.13951  0.98600  0.31882  0.12076  0.24957  0.32059  0.00000  0.21165  0.08871  0.22759  0.00000  0.00000  0.00000  0.00000  0.05811 0.50125  0.50125  0.00000  0.00000  0.35989  0.00000  0.00000
syst_unc_jeu_dn           =  0.04400  0.01094  0.05423  0.09694  0.02007  0.06563  0.00674  0.00904  0.02768  0.09727  0.04933  0.00972  0.02546  0.13963  0.05905  0.07287  0.05411  0.00098  0.04163  0.11275  0.03512  0.06604  0.06528  0.01368  0.02821  0.09982  0.09616  0.10492  0.14258  0.09435  0.23060  0.04373  0.08891  0.07530  0.01898  0.06423  0.07307  0.09582  0.03554  0.05518  0.02960  0.10344  0.29182  0.00000  0.05264  0.00590  0.36478  0.07450  0.22964  0.09962  0.24848  0.08051  0.05813  0.17808  0.14807  0.15827  0.05410  0.17285  0.06540  0.70868  0.01147  0.91709  0.13951  0.98600  0.31882  0.12076  0.24957  0.32059  0.00000  0.21165  0.08871  0.22759  0.00000  0.00000  0.00000  0.00000  0.05811 0.50125  0.50125  0.00000  0.00000  0.35989  0.00000  0.00000
syst_unc_meu_up           =  0.05065  0.04612  0.09033  0.10506  0.20297  0.02060  0.10629  0.12719  0.09339  0.04079  0.04302  0.07184  0.06093  0.13919  0.18406  0.03083  0.05272  0.09429  0.05448  0.04041  0.10877  0.03498  0.05393  0.16932  0.11333  0.10785  0.03586  0.12457  0.04948  0.08471  0.15406  0.05230  0.01531  0.10465  0.59174  0.17454  0.18015  0.05719  0.05997  0.17157  0.02544  0.08883  0.00000  0.35581  0.10793  0.10349  0.19312  0.11428  0.10775  0.19616  0.23517  0.18963  0.02858  0.10556  0.15756  0.21833  0.10715  0.04701  0.10835  0.14731  0.31966  0.02631  0.01967  0.27947  0.30034  0.04547  0.24265  0.17446  0.00000  0.19096  0.15926  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
