luminosity = 36     # in pb-1 (FIXED)
channels = 177     # total number of channels -> following our search bin definition (FIXED)
sample = signal     # name of the background: hadtau, lostle, zinv, qcd, ttz
channel = bin1 bin2 bin3 bin4 bin5 bin6 bin7 bin8 bin9 bin10 bin11 bin12 bin13 bin14 bin15 bin16 bin17 bin18 bin19 bin20 bin21 bin22 bin23 bin24 bin25 bin26 bin27 bin28 bin29 bin30 bin31 bin32 bin33 bin34 bin35 bin36 bin37 bin38 bin39 bin40 bin41 bin42 bin43 bin44 bin45 bin46 bin47 bin48 bin49 bin50 bin51 bin52 bin53 bin54 bin55 bin56 bin57 bin58 bin59 bin60 bin61 bin62 bin63 bin64 bin65 bin66 bin67 bin68 bin69 bin70 bin71 bin72 bin73 bin74 bin75 bin76 bin77 bin78 bin79 bin80 bin81 bin82 bin83 bin84 bin85 bin86 bin87 bin88 bin89 bin90 bin91 bin92 bin93 bin94 bin95 bin96 bin97 bin98 bin99 bin100 bin101 bin102 bin103 bin104 bin105 bin106 bin107 bin108 bin109 bin110 bin111 bin112 bin113 bin114 bin115 bin116 bin117 bin118 bin119 bin120 bin121 bin122 bin123 bin124 bin125 bin126 bin127 bin128 bin129 bin130 bin131 bin132 bin133 bin134 bin135 bin136 bin137 bin138 bin139 bin140 bin141 bin142 bin143 bin144 bin145 bin146 bin147 bin148 bin149 bin150 bin151 bin152 bin153 bin154 bin155 bin156 bin157 bin158 bin159 bin160 bin161 bin162 bin163 bin164 bin165 bin166 bin167 bin168 bin169 bin170 bin171 bin172 bin173 bin174 bin175 bin176 bin177 

# Predicted central numbers (need from all backgrounds)
rate = 0.192702 0.283385 0.204037 0.657453 0.238043 0.192702 0.283385 0.623447 0.0113354 0.0340062 0.0226708 0.0340062 0 0.0340062 0 0.0340062 0.0453416 0.056677 0.0453416 0 0.0453416 0.0113354 0 0.0113354 0.056677 0.0226708 0.0226708 0.0453416 0.0226708 0.0226708 0.0340062 0.0340062 0 0 0 0 0.0113354 0.0226708 0.0340062 0.0113354 0.0113354 0.0340062 0 0.0113354 0 0 0 0.0113354 0 0.0226708 0.0113354 0.0113354 0.0453416 0.0906831 0.158696 0.0793478 0.170031 0.249379 0.374068 0.306056 0.544099 0.272049 0.408074 0.374068 1.62096 0.249379 0.249379 0.29472 1.37158 1.76832 4.26211 0.872825 1.25823 1.19022 1.0882 2.9472 1.06553 0.158696 0.204037 0.283385 0.725465 1.19022 2.82251 0.476086 0.736801 0.770807 0.838819 2.0177 0.0906831 0.136025 0.14736 0.283385 0.578105 0.521428 0.0453416 0.113354 0.0793478 0.374068 0.158696 0.226708 2.47112 0.464751 0.41941 0.770807 0.340062 0.351397 0.510093 0.0340062 0.0453416 0.0680124 0 0.0793478 0.0226708 0.056677 0.0113354 0.192702 0.102019 0.0906831 0.283385 0.374068 0.136025 0.136025 0.056677 0 0.181366 0.0793478 0.0226708 0.215372 0.204037 0.0340062 0.056677 0.0113354 0 0.0680124 0.0226708 0.0226708 0.056677 0.0453416 0.0113354 0 0 0.0793478 0.0113354 0.192702 0.056677 0.0113354 0 0.0226708 0 0.0226708 0.0340062 0.0340062 0 0.0226708 0 0.0793478 0.0340062 0.0113354 0.0340062 0.0340062 0.0453416 0.0906831 0.14736 0 0 0.0113354 0 0.0680124 0.0113354 0 0 0.0113354 0 0.0226708 0.0226708 0.0113354 0.0340062 
cs_event = 17 25 18 58 21 17 25 55 1 3 2 3 0 3 0 3 4 5 4 0 4 1 0 1 5 2 2 4 2 2 3 3 0 0 0 0 1 2 3 1 1 3 0 1 0 0 0 1 0 2 1 1 4 8 14 7 15 22 33 27 48 24 36 33 143 22 22 26 121 156 376 77 111 105 96 260 94 14 18 25 64 105 249 42 65 68 74 178 8 12 13 25 51 46 4 10 7 33 14 20 218 41 37 68 30 31 45 3 4 6 0 7 2 5 1 17 9 8 25 33 12 12 5 0 16 7 2 19 18 3 5 1 0 6 2 2 5 4 1 0 0 7 1 17 5 1 0 2 0 2 3 3 0 2 0 7 3 1 3 3 4 8 13 0 0 1 0 6 1 0 0 1 0 2 2 1 3 
contam = 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
avg_weight = 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0.0113354 0 0.0113354 0.0113354 0.0113354 0.0113354 0 0.0113354 0.0113354 0 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0 0 0 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0.0113354 0 0 0 0.0113354 0 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0.0113354 0 0.0113354 0.0113354 0.0113354 0 0.0113354 0 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0.0113354 0 0 0.0113354 0 0.0113354 0.0113354 0 0 0.0113354 0 0.0113354 0.0113354 0.0113354 0.0113354 
syst_lumi_unc_up = 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 
syst_lumi_unc_dn = 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 
syst_lepVetoUnc_up = 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 
syst_lepVetoUnc_dn = 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 
